username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,9600,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9000,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,7800,https://github.com/bitwarden/server
ElectronNET,Electron.NET,5700,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4400,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,3800,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2200,https://github.com/smartstore/SmartStoreNET
microsoft,aspnet-api-versioning,2000,https://github.com/microsoft/aspnet-api-versioning
loic-sharma,BaGet,1700,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1400,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1100,https://github.com/lampo1024/DncZeus
mjebrahimi,Awesome-Microservices-NetCore,1100,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
MarimerLLC,csla,894,https://github.com/MarimerLLC/csla
riganti,dotvvm,535,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,483,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
chsakell,mvcarchitecture,435,https://github.com/chsakell/mvcarchitecture
antonioCoco,SharPyShell,428,https://github.com/antonioCoco/SharPyShell
brthor,Gofer.NET,392,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,372,https://github.com/YAFNET/YAFNET
Maarten88,rrod,371,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,336,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,319,https://github.com/Taritsyn/WebMarkupMin
IvanJosipovic,BlazorTable,280,https://github.com/IvanJosipovic/BlazorTable
cornflourblue,aspnet-core-jwt-authentication-api,273,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
EEParker,aspnetcore-vueclimiddleware,266,https://github.com/EEParker/aspnetcore-vueclimiddleware
chsakell,aspnet-core-identity,245,https://github.com/chsakell/aspnet-core-identity
grandchamp,Identity.Dapper,240,https://github.com/grandchamp/Identity.Dapper
ElectronNET,electron.net-api-demos,238,https://github.com/ElectronNET/electron.net-api-demos
