username,repo_name,stars,repo_url
jwasham,coding-interview-university,173000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,130000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,108000,https://github.com/TheAlgorithms/Python
trekhleb,javascript-algorithms,108000,https://github.com/trekhleb/javascript-algorithms
yangshun,tech-interview-handbook,54500,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,51500,https://github.com/kdn251/interviews
azl397985856,leetcode,42200,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,33800,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26100,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,22700,https://github.com/donnemartin/interactive-coding-challenges
keon,algorithms,19200,https://github.com/keon/algorithms
huihut,interview,18800,https://github.com/huihut/interview
halfrost,LeetCode-Go,18000,https://github.com/halfrost/LeetCode-Go
trekhleb,homemade-machine-learning,17700,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,16200,https://github.com/mxgmn/WaveFunctionCollapse
TheAlgorithms,C-Plus-Plus,13000,https://github.com/TheAlgorithms/C-Plus-Plus
OpenGenus,cosmos,12600,https://github.com/OpenGenus/cosmos
AtsushiSakai,PythonRobotics,12400,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,11900,https://github.com/greyireland/algorithm-pattern
TheAlgorithms,Javascript,11100,https://github.com/TheAlgorithms/Javascript
youngyangyang04,leetcode-master,10500,https://github.com/youngyangyang04/leetcode-master
apachecn,apachecn-algo-zh,10300,https://github.com/apachecn/apachecn-algo-zh
williamfiset,Algorithms,9900,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,9000,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,8300,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8100,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7200,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,6700,https://github.com/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,6600,https://github.com/LeetCode-OpenSource/vscode-leetcode
OlafenwaMoses,ImageAI,6200,https://github.com/OlafenwaMoses/ImageAI
