username,repo_name,stars,repo_url
serverless,serverless,39800,https://github.com/serverless/serverless
localstack,localstack,30400,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,21100,https://github.com/donnemartin/data-science-ipython-notebooks
ramitsurana,awesome-kubernetes,11600,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,11100,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,10600,https://github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,9300,https://github.com/donnemartin/awesome-aws
pulumi,pulumi,8700,https://github.com/pulumi/pulumi
apereo,cas,8700,https://github.com/apereo/cas
bregman-arie,devops-exercises,8400,https://github.com/bregman-arie/devops-exercises
apex,up,8200,https://github.com/apex/up
aws-amplify,amplify-js,8100,https://github.com/aws-amplify/amplify-js
aws,chalice,7900,https://github.com/aws/chalice
aws,serverless-application-model,7900,https://github.com/aws/serverless-application-model
google,go-cloud,7800,https://github.com/google/go-cloud
mozilla,sops,7600,https://github.com/mozilla/sops
cortexlabs,cortex,7500,https://github.com/cortexlabs/cortex
caprover,caprover,7200,https://github.com/caprover/caprover
aws,aws-sdk-go,6900,https://github.com/aws/aws-sdk-go
aws,aws-cdk,6800,https://github.com/aws/aws-cdk
aws,aws-sdk-js,6600,https://github.com/aws/aws-sdk-js
boto,boto3,6400,https://github.com/boto/boto3
angristan,openvpn-install,6300,https://github.com/angristan/openvpn-install
awslabs,aws-shell,6100,https://github.com/awslabs/aws-shell
hashicorp,terraform-provider-aws,5900,https://github.com/hashicorp/terraform-provider-aws
aws,aws-sam-cli,5600,https://github.com/aws/aws-sam-cli
aws,amazon-sagemaker-examples,5500,https://github.com/aws/amazon-sagemaker-examples
donnemartin,dev-setup,5400,https://github.com/donnemartin/dev-setup
gruntwork-io,terratest,5300,https://github.com/gruntwork-io/terratest
gruntwork-io,terragrunt,5000,https://github.com/gruntwork-io/terragrunt
