username,repo_name,stars,repo_url
flutter,flutter,121000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,80100,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,49200,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,44400,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,43000,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,40600,https://github.com/wasabeef/awesome-android-ui
square,okhttp,40100,https://github.com/square/okhttp
android,architecture-samples,38800,https://github.com/android/architecture-samples
square,retrofit,38100,https://github.com/square/retrofit
Solido,awesome-flutter,35800,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,33400,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,32400,https://github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,31500,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,31200,https://github.com/bumptech/glide
airbnb,lottie-android,31200,https://github.com/airbnb/lottie-android
Trinea,android-open-project,30600,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,29400,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,28900,https://github.com/xitu/gold-miner
bilibili,ijkplayer,28900,https://github.com/bilibili/ijkplayer
zxing,zxing,27800,https://github.com/zxing/zxing
codepath,android_guides,27400,https://github.com/codepath/android_guides
square,leakcanary,26200,https://github.com/square/leakcanary
skylot,jadx,26100,https://github.com/skylot/jadx
laurent22,joplin,23400,https://github.com/laurent22/joplin
alibaba,fastjson,23400,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,22600,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,21900,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,20700,https://github.com/react-native-elements/react-native-elements
google,iosched,20500,https://github.com/google/iosched
NativeScript,NativeScript,20200,https://github.com/NativeScript/NativeScript
