username,repo_name,stars,repo_url
sindresorhus,awesome,162000,https://github.com/sindresorhus/awesome
vinta,awesome-python,99000,https://github.com/vinta/awesome-python
avelino,awesome-go,64599,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,59100,https://github.com/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,46100,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,44400,https://github.com/Hack-with-Github/Awesome-Hacking
521xueweihan,HelloGitHub,42300,https://github.com/521xueweihan/HelloGitHub
jaywcjlove,awesome-mac,42100,https://github.com/jaywcjlove/awesome-mac
sindresorhus,awesome-nodejs,41200,https://github.com/sindresorhus/awesome-nodejs
DopplerHQ,awesome-interview-questions,40900,https://github.com/DopplerHQ/awesome-interview-questions
wasabeef,awesome-android-ui,40600,https://github.com/wasabeef/awesome-android-ui
trimstray,the-book-of-secret-knowledge,40500,https://github.com/trimstray/the-book-of-secret-knowledge
vsouza,awesome-ios,37600,https://github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,37100,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,35800,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,32299,https://github.com/binhnguyennus/awesome-scalability
tiimgreen,github-cheat-sheet,31700,https://github.com/tiimgreen/github-cheat-sheet
fffaraz,awesome-cpp,31600,https://github.com/fffaraz/awesome-cpp
MunGell,awesome-for-beginners,31400,https://github.com/MunGell/awesome-for-beginners
dypsilon,frontend-dev-bookmarks,31100,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,28700,https://github.com/akullpp/awesome-java
dkhamsing,open-source-ios-apps,27300,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,27000,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,26000,https://github.com/serhii-londar/open-source-mac-os-apps
ziadoz,awesome-php,25300,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25200,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23000,https://github.com/goabstract/Awesome-Design-Tools
sindresorhus,awesome-electron,21600,https://github.com/sindresorhus/awesome-electron
alebcay,awesome-shell,21500,https://github.com/alebcay/awesome-shell
matteocrippa,awesome-swift,20800,https://github.com/matteocrippa/awesome-swift
