username,repo_name,stars,repo_url
ramitsurana,awesome-kubernetes,11600,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,10400,https://github.com/Azure/azure-quickstart-templates
microsoft,recommenders,9900,https://github.com/microsoft/recommenders
pulumi,pulumi,8700,https://github.com/pulumi/pulumi
bregman-arie,devops-exercises,8400,https://github.com/bregman-arie/devops-exercises
google,go-cloud,7800,https://github.com/google/go-cloud
microsoft,computervision-recipes,7700,https://github.com/microsoft/computervision-recipes
mozilla,sops,7600,https://github.com/mozilla/sops
caprover,caprover,7200,https://github.com/caprover/caprover
microsoft,azuredatastudio,6400,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,5900,https://github.com/node-formidable/formidable
midwayjs,midway,4300,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,3800,https://github.com/thangchung/clean-code-dotnet
cloud-custodian,cloud-custodian,3600,https://github.com/cloud-custodian/cloud-custodian
budtmo,docker-android,3400,https://github.com/budtmo/docker-android
simov,grant,3300,https://github.com/simov/grant
nccgroup,ScoutSuite,3200,https://github.com/nccgroup/ScoutSuite
infracost,infracost,3100,https://github.com/infracost/infracost
Qovery,engine,3000,https://github.com/Qovery/engine
tfsec,tfsec,2800,https://github.com/tfsec/tfsec
bridgecrewio,checkov,2700,https://github.com/bridgecrewio/checkov
terraform-providers,terraform-provider-azurerm,2600,https://github.com/terraform-providers/terraform-provider-azurerm
Azure,azure-powershell,2600,https://github.com/Azure/azure-powershell
mlabouardy,komiser,2600,https://github.com/mlabouardy/komiser
Azure,azure-cli,2400,https://github.com/Azure/azure-cli
APIs-guru,openapi-directory,2400,https://github.com/APIs-guru/openapi-directory
Azure,azure-sdk-for-net,2400,https://github.com/Azure/azure-sdk-for-net
Azure,mmlspark,2300,https://github.com/Azure/mmlspark
Azure,MachineLearningNotebooks,2300,https://github.com/Azure/MachineLearningNotebooks
smartstore,SmartStoreNET,2200,https://github.com/smartstore/SmartStoreNET
