username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,89700,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,49000,https://github.com/nvm-sh/nvm
junegunn,fzf,36900,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,27100,https://github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,26400,https://github.com/mathiasbynens/dotfiles
koalaman,shellcheck,24900,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,22300,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,21500,https://github.com/alebcay/awesome-shell
LeCoupa,awesome-cheatsheets,20300,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,16900,https://github.com/starship/starship
jaywcjlove,linux-command,16000,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,13300,https://github.com/Nyr/openvpn-install
powerline,powerline,12600,https://github.com/powerline/powerline
shelljs,shelljs,12500,https://github.com/shelljs/shelljs
Bash-it,bash-it,12300,https://github.com/Bash-it/bash-it
dylanaraps,neofetch,11700,https://github.com/dylanaraps/neofetch
faressoft,terminalizer,11500,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,11000,https://github.com/jessfraz/dockerfiles
denisidoro,navi,9300,https://github.com/denisidoro/navi
rgcr,m-cli,8400,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8300,https://github.com/alexanderepstein/Bash-Snippets
codota,TabNine,8200,https://github.com/codota/TabNine
kanaka,mal,7800,https://github.com/kanaka/mal
direnv,direnv,7500,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,7200,https://github.com/skywind3000/awesome-cheatsheets
angristan,openvpn-install,6300,https://github.com/angristan/openvpn-install
enquirer,enquirer,6000,https://github.com/enquirer/enquirer
Mayccoll,Gogh,5900,https://github.com/Mayccoll/Gogh
webpro,awesome-dotfiles,5800,https://github.com/webpro/awesome-dotfiles
b-ryan,powerline-shell,5600,https://github.com/b-ryan/powerline-shell
