username,repo_name,stars,repo_url
bitcoin,bitcoin,54200,https://github.com/bitcoin/bitcoin
ccxt,ccxt,19700,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,16800,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9700,https://github.com/askmike/gekko
freqtrade,freqtrade,8600,https://github.com/freqtrade/freqtrade
bbfamily,abu,8000,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
dvf,blockchain,5700,https://github.com/dvf/blockchain
yeasy,blockchain_guide,5600,https://github.com/yeasy/blockchain_guide
butor,blackbird,5300,https://github.com/butor/blackbird
lightningnetwork,lnd,5000,https://github.com/lightningnetwork/lnd
spesmilo,electrum,4900,https://github.com/spesmilo/electrum
btcsuite,btcd,4300,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4200,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4000,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3600,https://github.com/bisq-network/bisq
michaelgrosner,tribeca,3500,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3400,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3400,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3300,https://github.com/Zheaoli/awesome-coins
coinpride,CryptoList,3300,https://github.com/coinpride/CryptoList
bitpay,wallet,3200,https://github.com/bitpay/wallet
SqueezerIO,squeezer,3200,https://github.com/SqueezerIO/squeezer
CryptoSignal,Crypto-Signal,3100,https://github.com/CryptoSignal/Crypto-Signal
Jeiwan,blockchain_go,2900,https://github.com/Jeiwan/blockchain_go
lbryio,lbrycrd,2800,https://github.com/lbryio/lbrycrd
btcpayserver,btcpayserver,2700,https://github.com/btcpayserver/btcpayserver
jesse-ai,jesse,2500,https://github.com/jesse-ai/jesse
bcoin-org,bcoin,2500,https://github.com/bcoin-org/bcoin
bitcoin-wallet,bitcoin-wallet,2400,https://github.com/bitcoin-wallet/bitcoin-wallet
