username,repo_name,stars,repo_url
CyC2018,CS-Notes,130000,https://github.com/CyC2018/CS-Notes
tuvtran,project-based-learning,50500,https://github.com/tuvtran/project-based-learning
azl397985856,leetcode,42200,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,36800,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,31600,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,22100,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,21000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,18800,https://github.com/huihut/interview
yuzu-emu,yuzu,14700,https://github.com/yuzu-emu/yuzu
changkun,modern-cpp-tutorial,13400,https://github.com/changkun/modern-cpp-tutorial
TheAlgorithms,C-Plus-Plus,13000,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,vcpkg,12800,https://github.com/microsoft/vcpkg
facebook,infer,12300,https://github.com/facebook/infer
AnthonyCalandra,modern-cpp-features,11900,https://github.com/AnthonyCalandra/modern-cpp-features
gabime,spdlog,11700,https://github.com/gabime/spdlog
CoatiSoftware,Sourcetrail,11400,https://github.com/CoatiSoftware/Sourcetrail
google,tink,11300,https://github.com/google/tink
ssloy,tinyrenderer,10700,https://github.com/ssloy/tinyrenderer
Qv2ray,Qv2ray,10600,https://github.com/Qv2ray/Qv2ray
youngyangyang04,leetcode-master,10500,https://github.com/youngyangyang04/leetcode-master
ethereum,solidity,10500,https://github.com/ethereum/solidity
SFTtech,openage,10300,https://github.com/SFTtech/openage
antlr,antlr4,10000,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,9500,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,9500,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,8600,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8500,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8200,https://github.com/codota/TabNine
nasa,fprime,8100,https://github.com/nasa/fprime
rigtorp,awesome-modern-cpp,8000,https://github.com/rigtorp/awesome-modern-cpp
