username,repo_name,stars,repo_url
ovity,octotree,21300,https://github.com/ovity/octotree
danger,danger,4500,https://github.com/danger/danger
gitpod-io,gitpod,4000,https://github.com/gitpod-io/gitpod
danger,danger-js,3800,https://github.com/danger/danger-js
reviewdog,reviewdog,3300,https://github.com/reviewdog/reviewdog
joho,awesome-code-review,2800,https://github.com/joho/awesome-code-review
houndci,hound,1900,https://github.com/houndci/hound
mbj,mutant,1700,https://github.com/mbj/mutant
ajinabraham,nodejsscan,1700,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1600,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1400,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1300,https://github.com/reviewboard/reviewboard
bit4woo,python_sec,947,https://github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,900,https://github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,889,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,775,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,540,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,477,https://github.com/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,411,https://github.com/uwolfer/gerrit-intellij-plugin
palantir,policy-bot,364,https://github.com/palantir/policy-bot
bsamseth,cpp-project,358,https://github.com/bsamseth/cpp-project
mookid,diffr,348,https://github.com/mookid/diffr
sjparkinson,static-review,330,https://github.com/sjparkinson/static-review
dpnishant,raptor,318,https://github.com/dpnishant/raptor
burrito-brothers,shiba,280,https://github.com/burrito-brothers/shiba
mgreiler,code-review-checklist,258,https://github.com/mgreiler/code-review-checklist
charignon,github-review,224,https://github.com/charignon/github-review
src-d,lookout,141,https://github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,134,https://github.com/uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,132,https://github.com/thesp0nge/owasp-orizon
