username,repo_name,stars,repo_url
httpie,httpie,50900,https://github.com/httpie/httpie
junegunn,fzf,36900,https://github.com/junegunn/fzf
sharkdp,bat,27300,https://github.com/sharkdp/bat
wagoodman,dive,26300,https://github.com/wagoodman/dive
sherlock-project,sherlock,25300,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,25300,https://github.com/BurntSushi/ripgrep
angular,angular-cli,24600,https://github.com/angular/angular-cli
chubin,cheat.sh,24400,https://github.com/chubin/cheat.sh
cli,cli,23600,https://github.com/cli/cli
spf13,cobra,21700,https://github.com/spf13/cobra
alebcay,awesome-shell,21500,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,20000,https://github.com/jesseduffield/lazygit
google,python-fire,19200,https://github.com/google/python-fire
avajs,ava,19000,https://github.com/avajs/ava
tqdm,tqdm,18400,https://github.com/tqdm/tqdm
vercel,pkg,18200,https://github.com/vercel/pkg
sharkdp,fd,17400,https://github.com/sharkdp/fd
chalk,chalk,16500,https://github.com/chalk/chalk
vadimdemedes,ink,16300,https://github.com/vadimdemedes/ink
svg,svgo,16200,https://github.com/svg/svgo
urfave,cli,15900,https://github.com/urfave/cli
gpakosz,.tmux,14100,https://github.com/gpakosz/.tmux
n8n-io,n8n,14000,https://github.com/n8n-io/n8n
FormidableLabs,webpack-dashboard,13800,https://github.com/FormidableLabs/webpack-dashboard
allinurl,goaccess,13300,https://github.com/allinurl/goaccess
infinitered,ignite,12600,https://github.com/infinitered/ignite
pomber,git-history,12500,https://github.com/pomber/git-history
jarun,nnn,11500,https://github.com/jarun/nnn
pallets,click,10900,https://github.com/pallets/click
asdf-vm,asdf,10900,https://github.com/asdf-vm/asdf
