username,repo_name,stars,repo_url
vercel,next.js,68000,https://github.com/vercel/next.js
webpack,webpack,58300,https://github.com/webpack/webpack
rust-lang,rust,55400,https://github.com/rust-lang/rust
gatsbyjs,gatsby,50400,https://github.com/gatsbyjs/gatsby
sveltejs,svelte,47300,https://github.com/sveltejs/svelte
babel,babel,39200,https://github.com/babel/babel
parcel-bundler,parcel,38400,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,36600,https://github.com/JetBrains/kotlin
markedjs,marked,25100,https://github.com/markedjs/marked
evanw,esbuild,24800,https://github.com/evanw/esbuild
vlang,v,23800,https://github.com/vlang/v
vercel,pkg,18200,https://github.com/vercel/pkg
v8,v8,17600,https://github.com/v8/v8
rome,tools,15800,https://github.com/rome/tools
swc-project,swc,12200,https://github.com/swc-project/swc
Konloch,bytecode-viewer,12100,https://github.com/Konloch/bytecode-viewer
AssemblyScript,assemblyscript,12000,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,11300,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10200,https://github.com/gopherjs/gopherjs
ziglang,zig,9300,https://github.com/ziglang/zig
compiler-explorer,compiler-explorer,8600,https://github.com/compiler-explorer/compiler-explorer
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
apache,tvm,6700,https://github.com/apache/tvm
numba,numba,6500,https://github.com/numba/numba
elm,compiler,6400,https://github.com/elm/compiler
aalhour,awesome-compilers,6000,https://github.com/aalhour/awesome-compilers
lebab,lebab,5400,https://github.com/lebab/lebab
DoctorWkt,acwj,5300,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5300,https://github.com/rescript-lang/rescript-compiler
lampepfl,dotty,4600,https://github.com/lampepfl/dotty
